,제목,본문,본문 댓글,답변,태그,,
10,arm 크로스 컴파일러 설치 질문있습니다.,"
안녕하세요 우분투 14.04 LTS 버전에 arm 아키텍쳐용 크로스컴파일러를 설치해서 궁극적인 목표는 타이젠 커널을 컴파일 하고자 합니다.
x86기반의 아키텍쳐 타이젠 OS가 있고, 최종적으로 제가 코딩한 프로그램을 ARM 기반의 아키텍쳐 디바이스(휴대폰)에 심어서 잘 작동하는지 확인해보려고 합니다. 두 아키텍쳐가 다르다 보니 크로스컴파일러를 우분투에 설치하는 것이 첫번째 과제가 될텐데요, 현재 arm-eabi-4.4.3 버전의 컴파일러를 설치하고자 합니다.
제가 궁금한 것들이 여럿 있는데요, 글로만 적으면 봐주시기 힘들 것 같아서 제가 한글파일로 작성해보았습니다. 어디가 잘못 되었는지... 제가 궁금해 하는 것들을 한번 봐주시고 답변 해주시면 정말 감사드리겠습니다.~ 
아래 링크는 질문파일에 대한 다운링크 입니다.~ (pdf 파일로 변환하였습니다 ^)
http://ask.ubuntu-kr.org/?qa=blob&qa_blobid=12099299736740328615","댓글 감사합니다.~ 1번으로 해보고 다시 댓글 달겠습니다. 2번에 arm-eabi-gcc로 실행이 되어야 한다는 말씀을 해주셨는데요 이 말씀이.....음... 제가 hello world를 출력하기 위해서 test.c 라는 파일을 arm-eabi-4.4.3 파일안에 만들었다고 가정했을 때 arm-eabi-gcc 컴파일러로 컴파일하고 실행시켰을 때 hello world가 뜨면서 정상적으로 동작하는지 체크해야한다는 말씀이신가요??

<-------------------------------->

음, j4 옵션을 주니 버전과 관계없이 컴파일 잘 되는줄 알았는데 어쨌거나 에러가 있네요..
버전은 그다지 관계가 없어보입니다..

<-------------------------------->

아뇨, 그냥 arm-eabi-gcc를 실행이 되는지요.

<-------------------------------->

혹시 arch/arm/boot/ 디렉토리에 image 파일이 생성이 되었나욤??

<-------------------------------->

터미널에서 arm-eabi-gcc 명령어를 쳤을 때 실행이 되느냐를 말씀하시는 거죠??","
PATH 부분 오타 있습니다.

그와는 별개로, herring_defconfig의 내용을 적용했을 때 sgx 드라이버 코드의 문제로 컴파일이 되지 않습니다.

menuconfig로 들어가서 sgx를 빼고 컴파일하면 오류가 없습니다.

zImage는 나옵니다만, 적용이 제대로 될지는 모르겠네요..

 

그리고, ubuntu에서는 크로스 컴파일러를 apt-get으로 설치할 수 있습니다.

sudo apt-get install gcc-arm-none-eabi

라던지,

sudo apt-get install gcc-arm-linux-gnueabi

로 크로스컴파일러를 쉽게 설치할 수 있습니다.

 

몇몇 회사(Samsung, 중국의 몇몇 업체)를 제외하고는 거의 호환됩니다.

물론 호환되도록 노력하고 있을겁니다 :)




<---------댓글----------->



답변 감사드립니다~~ sgx드라이버와 opengl에 관한 내용을 본것같습니다~ 참고하겠습니다!!



*************************************************************
","우분투
arm-크로스-컴파일러
타이젠
커널
코딩",,
11,wine을 이용한 unity player 사용. 한글이 안보여요! ㅠ,"

가입하자마자 이런 말씀을 드려도 될 지 모르겠습니다...ㅠ
NS-3로 인해 우분투를 깔게 되었습니다.
이것과는 별개로 제가 즐겨하는 베가 컨플릭트라는 게임을 하기 위해 wine을 통해서 유니티3d플레이어를 설치하고 게임에 접속하는데 성공하였습니다.
그러나... 한글이 보이지 않고 써지지도 않습니다...
이것을 어떻게 해결해야할지 능력자 분들께 조언을 구하고 싶습니다...
(unity player는 window용으로 나왔기 때문에 서로의 언어 인식 체계가 달라서 안보인다고 하던데... 이리저리 해도 안됩니다)
부탁드립니다.",No Comments Exist,"
http://wiki.unity3d.com/index.php/Running_Unity_Web_Player_on_Linux_using_Pipelight

 

pipelight 를 사용해도 동일한 문제가 발생하는지요?

2byte character 관련 문제는 원인이 이거다!! 하고 확실히 찝기가 쉽지 않습니다.

폰트가 없어서 그럴 수 도 있고, 애초에 프로그램 or 플러그인이 지원하지 않아서 일 수도 있습니다.

 

wine이라고만 적으셨는데 pipelight를 사용하신게 아니라면 먼저 pipelight부터 시도해 보시는게 어떨까요




<---------댓글----------->



*************************************************************
","와인
유니티-플레이어
한글
게임",,
12,커맨드로 불필요하게 다운로드 받은 것들 관리/삭제하는법?,"우분투 처음 깔고 이것저것 시도해보다가 안쓰는거 여러개 다운로드 받았는데

이것들을 한눈에 볼수있고 관리나 삭제할 수 있는 방법이 있나요?",No Comments Exist,"

혹시 커맨드가 힘들고 GUI로 찾아서 삭제하는 방법을 원하신다면, 우분투 소프트웨어 센터에서 확인하실 수 있습니다.
1. 먼저 왼쪽에 있는 우분투 소프트웨어 센터를 클릭합니다.

2. 설치 된 항목들을 보기 위해 설치함을 클릭합니다.

3. 왼쪽의 삼각형을 클릭하시면

4. 설치된 목록들이 나옵니다! 여기서 삭제하고 싶으신 항목을 삭제 하시면 됩니다.





<---------댓글----------->



*************************************************************
","터미널
다운로드
관리
삭제",,
13,패키지 인스톨하는 도중 컴퓨터가 꺼졌을떄 원래 시스템이 완전 망가지나요?,"누가 올려주신 한번에 한글패치하는 커맨드 입력하고 받다가 도중에 노트북 밧데리가 없어서 꺼졌는데

그 후로 유분투가 망가진거 같아요 자꾸 깜빡거리고 꺼지지도 않고

고칠 방법이 있을까요?

원래 패키지 받다가 컴퓨터가 꺼지면 시스템 손상이 이렇게 많이 가나요?",No Comments Exist,No Answers Exist,"우분투
패키지
설치
시스템-손상",,
14,4K 환경에서 DPI올리는 방법.,"
설정에서 창및 제목 크기를 조절해보았는데 글자가 커지진 않는것 같습니다.
눈이 매우 아픈데 해결책이 있을까요",No Comments Exist,"
gnome-tweak-tool로 조절하는 방법이 있습니다.

Fonts --> Scaling Factor 값이 1.00 으로 되어 있을텐데 이 수치를 높여보세요.




<---------댓글----------->



*************************************************************



단순 UI 사이즈 확대와 업스케일링(up-scaling)은 별개의 기능입니다.

 

http://www.pcworld.com/article/2911509/how-to-make-linuxs-desktop-look-good-on-high-resolution-displays.html

 

먼저 위 링크를 여시고...

gnome-tweak-tool을 설치하세요.

링크 페이지의 중간즈음에 보면 gnome-tweak-tool 스크린샷이 있습니다.

그 스크린샷의 하단 부분에 보면 Hi-DPI라는 항목이 있고 window scaling이 2로 되어 있는걸 확인하실 수 있을겁니다.

요 부분을 설정해 주시면 됩니다.

 

이론적으로 4k 해상도에서 업스케일링 x2일 경우, 시스템에 따라 다르지만 FHD(1920x1080p) 또는 UHD(2560x1440p)로 화면을 확대하여 표현해 주게 됩니다.




<---------댓글----------->



*************************************************************
","dpi
4k
설정",,
15,우분투에 라인/카톡 설치,"
안녕하세요. 우분투에서 카톡과 라인을 설치하려고 하는데요.
족족 실패하네요. 카톡같은 경우에 과거 버젼에서는 wine으로 잘됬지만, 신버젼에서는 사용이 힘듬니다.
 
라인또한 과거 버젼(windows버젼 wine)은 사용이 가능했지만, 현재는 사용이 힘듬니다.
누가 성공하신분이 있다면 알려주세여;;","과거에 설치했을 때 보니 폰트가 너무 찌그러져서 나와서 도저히 못 쓸 정도던데요..
차라리 Virtual box나 VM Ware에 윈도우 설치하셔서 심리스 모드나 유니티 모드로 쓰시는게 어떠실지요?","
playonlinux로 설치하시면 좀 더 편합니다.

http://nancom.tistory.com/163

구글링하면 관련한 포스팅이 많이 나오네요.

저는 저 위의 포스팅 참고해서 설치했고 가끔 접속이 안될 때는 설정들어가서 wine리부팅하는 것으로 될 때까지(;;) 합니다.




<---------댓글----------->



실행해보니 팝업으로 
""지원하지않는 시스템입니다.
고객센터로 문의해주시기 바랍니다.
현재버젼 :2.0.6.843""
이라고 뜨고 실행이 안되네여;;; 

무슨 문제일까요?



글쎄요 정보가 너무 적은데요..설치 과정중에 뭔가 오류가 있었던게 아닐까요?



*************************************************************
","우분투
라인
카톡
와인",,
16,우분투 리눅스 업데이트 문제,"
링크로 따라가셔서 질문 보시고 여기에 답변좀..

http://m.cafe.naver.com/ArticleRead.nhn?clubid=14252258&menuid=2&articleid=322404
 
참고로 여기 이 에러도..
 

 
",No Comments Exist,"

일단 스왑 파티션에 관한건 관련 스크린샷 or 내용이 없어서 답변을 못 드리겠네요.
 
패키지 관련 문제에 관한건 두가지 방법을 제시해 드릴 수 있을거 같은데...
첫번째는 패키지 관련 캐시를 지우고 강제로 apt관련 문제를 fix하는 방법입니다.

sudo rm /var/lib/apt/lists/* -vf
sudo apt-get update
sudo apt-get install -f
 
 
두번째는 apt 관련 명령어를 사용하실 줄 아실때에 사용하세요.

sudo apt-cache rdepends <package-name>
위 명령으로 나오는 정보를 토대로 의존성 관련 문제를 해결하시면 됩니다.




<---------댓글----------->



사진 추가 했습니다. 봐주시면 감사하겠습니다.
Gpart 파티션 관리자로 해결해 보고 싶은데 어떻게 하죠?
구리고 패키지 관리도 해보고 싶습니다.
그리고 1번 옵션은 오류 1번 리턴해서 처리 오류 생기고 2번은 잘몰라서 안해봤습니다.
사진 업로드 하겠습니다.



해결 했습니다. 근데 한글이 입력이 안되는 군여..
이건 ..?



*************************************************************
","우분투
업데이트",,
17,Firefox에서 Google Inbox를 보면 검은화면으로 깨지는 현상,"

Firefox 38.0 Ubuntu 14.04.2 LTS를 사용하고 있습니다.
Firefox에서 Google Inbox로 들어가서 사용하려고 하면 첨부 이미지처럼 까만 화면으로 깨져버리는 현상이 나타나네요.
Firefox 쓰시는 다른 분들은 어떠신가요? 이 문제를 해결하신 분이 계신다면 조언 좀 부탁드리겠습니다.
감사합니다.",No Comments Exist,"
https://gist.github.com/VictorBjelkholm/1d0f4ee6dc5ec0d6646e

 

Google Inbox는 현재 구글 크롬에서만 동작하게끔 되어 있습니다.




<---------댓글----------->



http://venturebeat.com/2015/02/19/googles-inbox-now-works-on-firefox-safari-ipads-and-android-tablets/

Google Inbox Firefox와 safari에서도 지원한다는 기사입니다.
-----------------------------------------------------------------------------------------------------------------
쓰고나니까 댓글을 너무 성의없이 쓴것 같네요.
답변 감사드립니다. ^^

혹시 yemharc님께서는 파이어폭스 사용하시는지요? 다른 분들도 공통적으로 일어나는 현상인지 알고 싶습니다.



*************************************************************
","파이어폭스
google-inbox",,
18,프리젠테이션 중 동영상을 실행하면 출력 신호가 자주 끊기는 현상이 나타납니다. 왜 그럴까요?,우분투 14.10을 사용하고 있습니다. 임프레스를 이용해 프리젠테이션을 실행하는 도중 동영상을 보기 위해 동영상 파일을 실행하면 빔프로젝터로 가는 신호가 중간 중간 끊어집니다. 그래서 스크린에 녹색 화면이 뜹니다. 임프레스에 동영상 파일을 첨부해서 실행시킨 것이 아닙니다. 우분투 기본 동영상 플레이어로 실행시킬 때 이런 현상이 나타납니다.,No Comments Exist,"

""우분투 기본 동영상 플레이어로 실행시킬 때 이런 현상이 나타납니다.""
이 말씀으로 짐작해보면
그래픽 가속이 꺼져있을꺼같습니다.
amd : support.amd.com/ko-kr/download
nvidia : http://www.nvidia.co.kr/Download/index.aspx?lang=kr
intel : https://downloadcenter.intel.com/ko/download/13815
자신의 그래픽 드라이버 회사 홈페이지를 참고하여 드라이버를 설치 혹은 업데이트를 해보시기 바랍니다.




<---------댓글----------->



답변 감사드립니다.

한번 시행해보도록 하겠습니다. 그런데 제 노트북이 그래픽이 하이브리드라 어떻게 해야 할지요.  인텔과 AMD인데요...



하이브리드이면, 둘중 하나는 포기하고 쓰셔야 정신건강에 이롭습니다....

이와 관련된 내용이 포럼에도 있으니 참고바랍니다.
http://forum.ubuntu-kr.org/viewtopic.php?f=20&t=25249&view=previous&sid=c67296d6e6ee456dbb192f7bdbaf17a3



친절한 답변에 다시 한번 감사드립니다.



*************************************************************
","프리젠테이션
동영상
빔-프로젝터
플레이어",,
19,ubuntu firefox timeout error,"
ubuntu를 사용하는 중에 어느날 갑자기(?) firefox 브라우저로 인터넷이 안됩니다.
firefox 브라우저에는 time out 에러를 표시합니다. 터미널에서 traceroute를 찍어보면 다음과 같이 나옵니다.
도움이 구해봅니다.
",No Comments Exist,"

파이어폭스의 환경설정에서 network.dns.disableIPv6을 체크해보세요.




<---------댓글----------->



*************************************************************
","우분투
타임아웃
파이어폭스
오류",,
20,숨겨진 파일들이 다 보입니다.,"
제목 그대로 입니다. 숨겨진 파일들이 전부 다 보입니다.
터미널로 mv 명령어로 이름을 바꾸고 다시 바꾸어 보았는데 . 이 붙으면 다시 보입니다.
?? 원래 안보여야 정상인데?더 이상한건 다른 폴더를 만들고 그 폴더의 이름에 .을 붙이면 그건 숨겨지는...
뭐가 문제죠? 무슨 명령어로 해결하면 좋나요?

 ",No Comments Exist,"
ctrl + H로 숨김파일 보이기 숨기기 가능합니다.




<---------댓글----------->



*************************************************************
","숨김-파일
mv
터미널",,
21,우분투 15.04에서 듀얼모니터 사용시 윈도우 이동방법 문의,"현재 우분투 15.04 에서 듀얼모니터를 사용하고 있습니다. 모니터 1 과 모니터 2 가 있는데, 모니터 1 에서 창을 열어서 좌/우로 이동하는 것은 알겠는데, 그 창을 모니터 2 로 이동하는 방법을 알고 싶습니다. 즉, 모니터 1에서 실행한 윈도를 컨트롤+슈퍼+좌/우 로 이동해서 모니터 1에서 모니터 2까지 이동하고 싶습니다.",No Comments Exist,"

우분투 한국 사용자 모임의 구글 커뮤니티에서 Bumryul Lee 님이 알려주신 내용입니다. 
참고 : http://askubuntu.com/questions/22207/quickly-place-a-window-to-another-screen-using-only-the-keyboard 




<---------댓글----------->



*************************************************************
","듀얼-모니터
창
이동",,
22,GParted로 파티션 나누기 질문 입니다.,"Gparted 파티션 편집기를 우분투 소프트 웨어 센터에서 받았습니다.

이걸로 나누려고 하는데 다음과 같이 나오네요.

 

게다가 크기 조정도 1MB 밖에 안되고요..

쩝.. 방법 없나요? Windows 10 한번 써보고 싶은데..",No Comments Exist,"
남은 용량이 없으니 어쩔 수 없죠.

HDD, SDD를 추가 구매하시거나... 아니면 기존 자료 백업 받고 HDD, SSD 다시 나누고 우분투 및 윈10 설치하면 되는데...

자료 백업 받으려면 별도 HDD, SDD가 필요할지도 모르겠네요.




<---------댓글----------->



windows 처럼 이미 할당된 곳을 나눌순 없나요? 실제로 설치된 것은 몇 Gib도 안되는데..



*************************************************************



라이브 이미지 받아서 쓰시면 됩니다.
로컬에서는 어차피 IN USE 상태이기 때문에 파티션에 손댈 수 있는 범위가 제한적일 수 밖에 없습니다.

자세한 내용은 위키에.




<---------댓글----------->



*************************************************************
","gparted
파티션
편집
우분투-소프트웨어-센터",,
23,띄워놓은 여러개의 터미널 유지하는 방법,"안녕하세요.

터미널 창 여러 개를 띄워놓고 작업한 후에 로그아웃 후 다시 로그인을 했을 때 로그아웃하기 전의 터미널 상태를 그대로 유지하게 하려면 어떻게 해야하는지요.

감사합니다.

-im-",No Comments Exist,"
무슨 의미인지 이해가 잘 안 되네요...

그 로그아웃이라는 게 터미널 로그아웃이 아닌 데스크탑 로그아웃을 뜻하는 건가요..

만약 그렇다면, 데스크탑 로그아웃하면 터미널이 모두 종료됩니다. 그건 어쩔 수 없는 부분입니다.

bluemt님께서 원하는 효과를 얻으시려면 로그아웃을 하지 마시고 시스템을 절전 상태로 두시면 되겠습니다.




<---------댓글----------->



*************************************************************




TMux 나 Screen 쓰시면 됩니다.




<---------댓글----------->



*************************************************************
","터미널
유지",,
24,우분투에서의 wifi사용,"LG Xnote A505노트북에 Lubuntu 14.04 데스크탑 버전을 설치/사용하고있습니다.

무선랜을 사용하고싶은데,

iwconfig 명령이 너무 불편합니다.

GUI상에서 ssid정도는 자동으로 디텍팅해서 보여주고,

암호키를 입력해서 설정을 할 수있는 도구가 있으면 좋겠습니다.

추천부탁드려요~",No Comments Exist,"
network-manager-gnome 라는 패키지를 설치해보세요.




<---------댓글----------->



*************************************************************
","우분투
와이파이
iwconfig
gui",,
